Trial,Location,Year,Date,Plot No,Date_of_Germination,Date_of_Anthesis ,Date_of_Silking ,Plant_Height ,Cob_Height ,No_of_Plants,No_of_Cobs,Field_weight,Grain_weight,Grain_wt_100,Moisture_NARC,Canopy_Temp
NARC 2017 Date 2,NARC,2017,Date2,54,42846,42897,42900,5.3,3,7,3,180,52,24,18.8,32.7
NARC 2017 Date 2,NARC,2017,Date2,55,42848,42900,42901,5.2,2.5,5,0,0,0,NA,NA,32.1
NARC 2017 Date 2,NARC,2017,Date2,56,42848,42904,42907,5.4,2.5,7,0,0,0,NA,NA,34.8
NARC 2017 Date 2,NARC,2017,Date2,57,42848,42902,42901,4.4,2.3,6,4,50,25,21,18.6,34.3
NARC 2017 Date 2,NARC,2017,Date2,58,42846,42901,42906,5.5,2.8,6,0,0,0,NA,NA,32.7
NARC 2017 Date 2,NARC,2017,Date2,59,42846,42900,42901,5.5,2.8,15,15,300,124,24,18.5,33.7
NARC 2017 Date 2,NARC,2017,Date2,60,42849,42895,42898,5.4,2.7,13,25,600,442,16,17.8,31.1
NARC 2017 Date 2,NARC,2017,Date2,CH1,42846,42892,42895,5.1,3,12,14,800,722,24,18.6,33
NARC 2017 Date 2,NARC,2017,Date2,CH2,42849,42900,42902,4.3,2.4,10,11,1500,1000,28,18.4,32.5
NARC 2017 Date 2,NARC,2017,Date2,CH3,42849,42906,42909,4.3,2.1,9,10,1000,1290,20,18,34
NARC 2017 Date 2,NARC,2017,Date2,61,42849,42901,42906,5.5,2.9,7,5,40,41,16,20.3,32.7
NARC 2017 Date 2,NARC,2017,Date2,62,42849,42888,42890,6.7,4.5,7,9,250,164,20,18.5,34.9
NARC 2017 Date 2,NARC,2017,Date2,63,42846,42904,42907,5.9,2.7,13,13,450,336,20,18.8,35.3
NARC 2017 Date 2,NARC,2017,Date2,64,42848,42898,42901,5.4,2.6,14,11,400,362,20,18.3,37.3
